# xi,yi,Xr,Yr
21,30,30.48,30.48
17,31,20.32,30.48
18,31,21.45157929280463,29.287771590192236
19,31,22.540362712670397,28.081335301448906
20,31,23.588929793320787,26.870576640492988
21,31,24.601149835341097,25.67032386740907
22,31,25.66011676994538,24.526602655497445
23,31,27.035877686041886,23.49839483783877
24,31,28.402739639869726,22.51211588211738
25,31,29.587800077353993,21.481186566014898
26,31,30.48,20.32
27,31,30.989498339427133,18.902721040084177
28,31,31.16539468741756,17.23206397824479
29,31,31.10504103572067,15.415246078899255
30,31,30.905789376085856,13.559484606465
31,31,30.664991700262497,11.77199682535944
32,31,30.48,10.16
33,31,30.376512845119137,8.74050541309611
34,31,30.312143970399756,7.435215519636107
35,31,30.282118115029807,6.2083843424557426
36,31,30.281660018197247,5.024265904390776
37,31,30.305994419090034,3.8471142282769617
38,31,30.350346056896115,2.641183336950057
39,31,30.409939670803453,1.3707272532458175
40,31,30.48,0.0
41,31,30.57010124396363,-1.4707475655365594
42,31,30.67504900382569,-2.9938972294416977
43,31,30.767915121254408,-4.53414393387267
44,31,30.821771437917995,-6.056182620986732
45,31,30.809689795484648,-7.524708232941137
46,31,30.70474203562258,-8.904415711893142
47,31,30.48,-10.16
48,31,30.235002034818653,-11.377431924700238
49,31,30.082790439319457,-12.668117222370125
50,31,30.016692984729392,-14.034903198573529
51,31,30.03003744227544,-15.480637158874348
52,31,30.11615158318458,-17.008166408836445
53,31,30.268363178683767,-18.620338254023707
54,31,30.480000000000004,-20.320000000000004
55,31,30.757827986810923,-22.247866404234937
56,31,31.026533530872275,-24.416772254834296
57,31,31.156325081528163,-26.63774490331618
58,31,31.01741108812271,-28.721811701198718
59,31,30.48,-30.48
15,32,15.45008703356975,29.88907618922738
16,32,16.566439491085816,28.623038140527427
17,32,17.56540434805845,27.344562047611475
18,32,18.127625378292795,25.887106631854156
19,32,18.549827282419365,24.360311216435868
20,32,19.00256946434285,22.882789089687307
21,32,19.565933258668096,21.515649076058633
22,32,20.32,20.32
23,32,21.44063535150352,19.42442276755041
24,32,22.893835511088056,18.811119323521904
25,32,24.444877615475075,18.321630050524114
26,32,25.52615505714551,17.53838269584535
27,32,25.711598694730554,16.260933557665464
28,32,25.727752268089805,14.879994391445711
29,32,25.660914779787866,13.40620688097529
30,32,25.447636233888066,11.797079720053034
31,32,25.228453023902496,10.263497689685964
32,32,25.10085929792578,8.958179501033564
33,32,24.951236581897604,7.763856149559834
34,32,24.809011924378694,6.635909429106934
35,32,24.711465224410862,5.510317715716979
36,32,24.672065065982178,4.356565325210967
37,32,24.698418833303663,3.2126382500784265
38,32,24.785188015929283,2.1510738139215935
39,32,24.920580864371413,1.12759456038153
40,32,25.09594400038139,-0.02585778061347644
41,32,25.271652420002088,-1.2982953141134161
42,32,25.462288418418147,-2.635229444989638
43,32,25.724626243789398,-4.033322347794365
44,32,26.001208590760733,-5.351632405008537
45,32,26.25376513988478,-6.61549762902794
46,32,26.42821704260123,-7.818513613534387
47,32,25.99844063106349,-8.820153475237934
48,32,25.43392689276946,-9.77638647326174
49,32,25.035409972819142,-10.824388814870238
50,32,24.874331072022883,-12.005786488139265
51,32,24.91305676593638,-13.291899631871036
52,32,25.14178210803601,-14.687492795806328
53,32,25.55104607648657,-16.199616133592727
54,32,26.06649201595543,-17.80012807269146
55,32,26.054338680145932,-19.26795590471538
56,32,25.73899828384326,-20.709659150624823
57,32,25.350334456742495,-22.166693410193176
58,32,25.218060539674614,-24.148112695719014
